gesture,timestamp,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19
closed,2025-02-16 21:20:48,283.0,99.0,256.0,102.0,286.0,58.0,174.0,66.0,155.0,64.0,87.0,66.0,54.0,65.0,98.0,65.0,587.0,133.0,671.0,68.0
closed,2025-02-16 21:20:48,618.0,101.0,306.0,147.0,171.0,190.0,60.0,196.0,94.0,200.0,193.0,198.0,126.0,191.0,252.0,168.0,202.0,124.0,594.0,208.0
closed,2025-02-16 21:20:48,665.0,357.0,746.0,265.0,721.0,250.0,553.0,240.0,486.0,303.0,229.0,566.0,97.0,642.0,120.0,615.0,101.0,364.0,143.0,189.0
closed,2025-02-16 21:20:48,167.0,111.0,90.0,81.0,213.0,125.0,131.0,172.0,189.0,214.0,178.0,174.0,206.0,440.0,302.0,671.0,207.0,693.0,155.0,650.0
closed,2025-02-16 21:20:49,260.0,471.0,300.0,406.0,401.0,253.0,656.0,157.0,624.0,124.0,531.0,75.0,376.0,127.0,188.0,119.0,102.0,88.0,94.0,147.0
closed,2025-02-16 21:20:49,133.0,206.0,240.0,169.0,214.0,168.0,245.0,197.0,474.0,222.0,702.0,258.0,806.0,246.0,709.0,135.0,535.0,182.0,375.0,358.0
closed,2025-02-16 21:20:49,239.0,571.0,92.0,630.0,75.0,600.0,103.0,291.0,164.0,80.0,182.0,71.0,141.0,81.0,198.0,137.0,154.0,180.0,150.0,188.0
closed,2025-02-16 21:20:49,102.0,233.0,117.0,489.0,249.0,672.0,227.0,706.0,213.0,712.0,226.0,551.0,181.0,342.0,321.0,313.0,552.0,146.0,628.0,68.0
closed,2025-02-16 21:20:49,586.0,140.0,294.0,211.0,117.0,142.0,77.0,198.0,112.0,159.0,185.0,149.0,192.0,160.0,208.0,176.0,295.0,174.0,499.0,247.0
closed,2025-02-16 21:20:52,702.0,242.0,740.0,230.0,689.0,189.0,514.0,202.0,355.0,311.0,292.0,566.0,110.0,657.0,68.0,546.0,765.0,231.0,550.0,299.0
closed,2025-02-16 21:20:52,333.0,393.0,136.0,514.0,72.0,647.0,70.0,560.0,139.0,273.0,105.0,163.0,137.0,88.0,164.0,126.0,200.0,155.0,187.0,163.0
closed,2025-02-16 21:20:52,171.0,248.0,102.0,235.0,131.0,599.0,320.0,720.0,184.0,661.0,254.0,668.0,185.0,471.0,217.0,266.0,354.0,154.0,585.0,96.0
closed,2025-02-16 21:20:52,640.0,85.0,508.0,71.0,231.0,209.0,164.0,180.0,74.0,165.0,88.0,74.0,140.0,169.0,142.0,142.0,196.0,157.0,250.0,173.0
closed,2025-02-16 21:20:53,461.0,149.0,661.0,160.0,671.0,158.0,630.0,210.0,496.0,195.0,303.0,302.0,241.0,539.0,83.0,587.0,58.0,543.0,145.0,281.0
closed,2025-02-16 21:20:53,147.0,68.0,207.0,71.0,151.0,93.0,89.0,150.0,154.0,160.0,128.0,161.0,141.0,217.0,184.0,426.0,222.0,648.0,250.0,695.0
closed,2025-02-16 21:20:53,213.0,638.0,221.0,531.0,194.0,334.0,273.0,226.0,532.0,124.0,628.0,72.0,560.0,107.0,250.0,203.0,88.0,173.0,82.0,185.0
closed,2025-02-16 21:20:53,92.0,149.0,139.0,164.0,163.0,151.0,207.0,138.0,291.0,154.0,395.0,223.0,693.0,215.0,722.0,252.0,705.0,225.0,581.0,162.0
closed,2025-02-16 21:20:55,351.0,332.0,277.0,540.0,111.0,658.0,50.0,485.0,229.0,661.0,189.0,675.0,208.0,642.0,187.0,479.0,192.0,330.0,309.0,243.0
closed,2025-02-16 21:20:55,553.0,107.0,613.0,74.0,502.0,125.0,225.0,170.0,60.0,186.0,75.0,191.0,102.0,182.0,148.0,159.0,172.0,152.0,201.0,109.0
closed,2025-02-16 21:20:55,256.0,172.0,514.0,219.0,677.0,218.0,730.0,232.0,657.0,171.0,521.0,229.0,358.0,359.0,271.0,568.0,82.0,594.0,67.0,551.0
closed,2025-02-16 21:20:55,172.0,191.0,143.0,114.0,192.0,67.0,149.0,81.0,124.0,133.0,161.0,200.0,49.0,134.0,115.0,228.0,166.0,425.0,276.0,764.0
closed,2025-02-16 21:20:55,270.0,752.0,276.0,682.0,218.0,497.0,71.0,356.0,313.0,228.0,573.0,113.0,673.0,90.0,573.0,137.0,291.0,136.0,96.0,85.0
closed,2025-02-16 21:20:55,77.0,194.0,105.0,189.0,132.0,101.0,182.0,147.0,190.0,128.0,285.0,152.0,481.0,207.0,676.0,235.0,718.0,150.0,635.0,206.0
closed,2025-02-16 21:20:56,542.0,202.0,314.0,321.0,299.0,578.0,115.0,590.0,66.0,595.0,126.0,239.0,194.0,88.0,197.0,71.0,166.0,105.0,147.0,143.0
closed,2025-02-16 21:20:56,177.0,207.0,134.0,219.0,145.0,250.0,201.0,540.0,240.0,676.0,211.0,689.0,236.0,665.0,201.0,522.0,205.0,342.0,334.0,226.0
closed,2025-02-16 21:20:56,533.0,94.0,606.0,90.0,508.0,132.0,201.0,176.0,80.0,149.0,82.0,169.0,98.0,177.0,145.0,121.0,167.0,154.0,226.0,136.0
closed,2025-02-16 21:20:58,248.0,168.0,522.0,209.0,691.0,230.0,724.0,236.0,656.0,203.0,518.0,192.0,332.0,294.0,281.0,544.0,186.0,342.0,280.0,269.0
closed,2025-02-16 21:20:58,531.0,109.0,626.0,69.0,567.0,91.0,341.0,191.0,125.0,145.0,70.0,206.0,89.0,117.0,137.0,118.0,158.0,135.0,224.0,128.0
closed,2025-02-16 21:20:58,203.0,161.0,353.0,195.0,744.0,209.0,659.0,163.0,685.0,178.0,540.0,144.0,307.0,319.0,306.0,533.0,117.0,493.0,71.0,603.0
closed,2025-02-16 21:20:58,149.0,312.0,188.0,105.0,194.0,57.0,204.0,73.0,164.0,145.0,162.0,168.0,185.0,208.0,100.0,183.0,146.0,357.0,211.0,641.0
closed,2025-02-16 21:20:58,205.0,667.0,241.0,670.0,192.0,508.0,183.0,374.0,281.0,261.0,530.0,136.0,620.0,67.0,549.0,124.0,273.0,174.0,83.0,175.0
closed,2025-02-16 21:20:59,83.0,177.0,96.0,196.0,123.0,176.0,173.0,142.0,180.0,106.0,223.0,144.0,344.0,177.0,656.0,204.0,704.0,219.0,644.0,198.0
closed,2025-02-16 21:20:59,569.0,165.0,322.0,284.0,245.0,512.0,107.0,608.0,67.0,548.0,108.0,283.0,189.0,141.0,182.0,63.0,191.0,76.0,176.0,136.0
closed,2025-02-16 21:21:00,173.0,163.0,151.0,202.0,171.0,198.0,127.0,364.0,210.0,690.0,221.0,701.0,222.0,702.0,195.0,137.0,158.0,129.0,232.0,157.0
closed,2025-02-16 21:21:01,339.0,191.0,683.0,208.0,692.0,183.0,661.0,234.0,584.0,173.0,401.0,305.0,326.0,474.0,125.0,627.0,73.0,591.0,144.0,333.0
closed,2025-02-16 21:21:01,146.0,178.0,143.0,58.0,221.0,89.0,156.0,144.0,115.0,137.0,161.0,214.0,170.0,195.0,122.0,302.0,193.0,651.0,212.0,638.0
