Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
1/1/2010,24,31,28,78,0,5,3,360,3,0
2/1/2010,25,32,28,80,0,4,3,360,3,0
3/1/2010,25,32,29,79,0,8,3,315,3,315
4/1/2010,25,32,28,82,69,6,4,180,4,180
5/1/2010,25,31,28,78,2,6,3,135,3,135
6/1/2010,24,31,28,77,25,3,3,315,3,315
7/1/2010,25,31,27,80,5,1,3,315,3,315
8/1/2010,25,31,27,80,0,5,3,270,3,270
9/1/2010,25,29,26,85,5,0,4,315,4,315
10/1/2010,24,30,27,80,3,1,3,315,3,315
11/1/2010,25,31,26,84,0,2,3,315,3,315
12/1/2010,23,30,27,87,98,0,3,270,3,270
13/01/2010,24,30,27,79,2,2,3,270,3,270
14/01/2010,24,30,27,78,31,4,9,270,9,270
15/01/2010,24,29,27,77,29,1,9,270,9,270
16/01/2010,26,29,27,79,0,0,7,270,7,270
17/01/2010,25,30,28,77,30,5,6,315,6,315
18/01/2010,25,31,28,78,15,8,7,315,7,315
19/01/2010,24,31,26,86,5,2,6,315,6,315
20/01/2010,25,30,27,82,3,6,4,315,4,315
21/01/2010,25,30,27,83,1,1,4,360,4,0
22/01/2010,25,30,28,81,0,3,3,315,3,315
23/01/2010,25,30,27,83,5,5,3,315,3,315
24/01/2010,25,31,28,78,0,5,3,315,3,315
25/01/2010,24,30,27,84,11,1,4,360,4,0
26/01/2010,25,30,27,82,0,4,3,315,3,315
27/01/2010,24,30,27,88,46,6,4,315,4,315
28/01/2010,25,31,27,84,24,6,3,315,3,315
29/01/2010,24,30,27,83,10,6,3,315,3,315
30/01/2010,25,30,27,84,0,2,3,315,3,315
31/01/2010,25,30,27,84,18,2,3,315,3,315
1/2/2010,24,30,27,82,0,3,2,360,3,0
2/2/2010,25,30,28,79,0,1,3,360,3,0
3/2/2010,26,29,27,87,3,0,5,360,3,315
4/2/2010,25,30,28,79,0,6,6,320,3,315
5/2/2010,25,31,28,84,12,5,4,330,4,315
6/2/2010,26,29,27,89,0,0,3,360,4,0
7/2/2010,24,30,27,81,19,4,3,360,4,0
8/2/2010,26,30,28,81,0,4,3,320,3,315
9/2/2010,25,32,28,77,0,5,6,320,3,0
10/2/2010,25,34,28,76,0,6,5,120,3,135
11/2/2010,26,34,29,77,35,5,3,350,3,315
12/2/2010,26,32,29,78,1,5,3,360,3,0
13/02/2010,24,31,28,82,43,4,3,360,3,0
14/02/2010,26,31,28,82,2,3,3,320,3,315
15/02/2010,26,32,28,87,0,4,4,320,3,315
16/02/2010,25,31,28,84,40,5,5,350,3,315
17/02/2010,25,31,28,80,0,5,4,320,3,315
18/02/2010,26,31,28,80,0,4,3,360,4,315
19/02/2010,26,31,27,90,0,1,4,360,4,270
20/02/2010,23,31,27,84,109,6,3,340,3,0
21/02/2010,24,30,28,82,46,6,6,350,4,315
22/02/2010,26,30,28,81,0,2,4,320,4,45
23/02/2010,26,31,28,82,0,4,4,20,3,0
24/02/2010,26,30,28,87,11,2,2,360,3,0
25/02/2010,26,30,28,82,11,5,4,320,2,315
26/02/2010,26,31,29,78,0,5,3,320,4,315
27/02/2010,26,32,29,77,0,5,4,320,3,0
28/02/2010,26,32,29,80,0,4,4,180,3,315
1/3/2010,27,31,28,80,0,5,4,330,2,315
2/3/2010,26,31,28,81,0,5,3,360,3,0
3/3/2010,26,32,29,79,1,4,3,360,3,0
4/3/2010,27,32,29,78,0,5,3,320,3,315
5/3/2010,24,29,27,87,0,0,4,320,3,315
6/3/2010,26,31,28,80,20,6,5,320,3,315
7/3/2010,27,32,29,77,0,5,4,360,3,0
8/3/2010,26,32,28,81,0,6,3,330,4,315
9/3/2010,26,31,28,80,4,6,4,90,3,0
10/3/2010,26,30,28,80,0,4,3,320,4,315
11/3/2010,25,31,27,84,0,5,4,320,3,315
12/3/2010,25,31,28,80,42,6,5,320,3,315
13/03/2010,26,34,29,73,0,6,5,90,3,90
14/03/2010,26,33,29,80,11,5,3,50,3,45
15/03/2010,26,33,28,79,3,5,4,360,4,0
16/03/2010,26,31,28,79,17,6,3,30,3,315
17/03/2010,25,30,27,88,8,4,5,300,3,315
18/03/2010,25,31,28,80,9,5,4,350,3,315
19/03/2010,27,30,27,85,0,2,2,350,3,315
20/03/2010,25,32,28,78,19,6,3,360,2,315
21/03/2010,26,31,28,82,22,3,3,360,3,0
