Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01/01/2010,24.0,31.0,28.0,78.0,0.0,5.0,3.0,360.0,3.0,0
01/02/2010,25.0,32.0,28.0,80.0,0.0,4.0,3.0,360.0,3.0,0
01/03/2010,25.0,32.0,29.0,79.0,0.0,8.0,3.0,315.0,3.0,315
01/04/2010,25.0,32.0,28.0,82.0,69.0,6.0,4.0,180.0,4.0,180
01/05/2010,25.0,31.0,28.0,78.0,2.0,6.0,3.0,135.0,3.0,135
01/06/2010,24.0,31.0,28.0,77.0,25.0,3.0,3.0,315.0,3.0,315
01/07/2010,25.0,31.0,27.0,80.0,5.0,1.0,3.0,315.0,3.0,315
01/08/2010,25.0,31.0,27.0,80.0,0.0,5.0,3.0,270.0,3.0,270
01/09/2010,25.0,29.0,26.0,85.0,5.0,0.0,4.0,315.0,4.0,315
01/10/2010,24.0,30.0,27.0,80.0,3.0,1.0,3.0,315.0,3.0,315
01/11/2010,25.0,31.0,26.0,84.0,0.0,2.0,3.0,315.0,3.0,315
01/12/2010,23.0,30.0,27.0,87.0,98.0,0.0,3.0,270.0,3.0,270
13/01/2010,24.0,30.0,27.0,79.0,2.0,2.0,3.0,270.0,3.0,270
14/01/2010,24.0,30.0,27.0,78.0,31.0,4.0,9.0,270.0,9.0,270
15/01/2010,24.0,29.0,27.0,77.0,29.0,1.0,9.0,270.0,9.0,270
16/01/2010,26.0,29.0,27.0,79.0,0.0,0.0,7.0,270.0,7.0,270
17/01/2010,25.0,30.0,28.0,77.0,30.0,5.0,6.0,315.0,6.0,315
18/01/2010,25.0,31.0,28.0,78.0,15.0,8.0,7.0,315.0,7.0,315
19/01/2010,24.0,31.0,26.0,86.0,5.0,2.0,6.0,315.0,6.0,315
20/01/2010,25.0,30.0,27.0,82.0,3.0,6.0,4.0,315.0,4.0,315
21/01/2010,25.0,30.0,27.0,83.0,1.0,1.0,4.0,360.0,4.0,0
22/01/2010,25.0,30.0,28.0,81.0,0.0,3.0,3.0,315.0,3.0,315
23/01/2010,25.0,30.0,27.0,83.0,5.0,5.0,3.0,315.0,3.0,315
24/01/2010,25.0,31.0,28.0,78.0,0.0,5.0,3.0,315.0,3.0,315
25/01/2010,24.0,30.0,27.0,84.0,11.0,1.0,4.0,360.0,4.0,0
26/01/2010,25.0,30.0,27.0,82.0,0.0,4.0,3.0,315.0,3.0,315
27/01/2010,24.0,30.0,27.0,88.0,46.0,6.0,4.0,315.0,4.0,315
28/01/2010,25.0,31.0,27.0,84.0,24.0,6.0,3.0,315.0,3.0,315
29/01/2010,24.0,30.0,27.0,83.0,10.0,6.0,3.0,315.0,3.0,315
30/01/2010,25.0,30.0,27.0,84.0,0.0,2.0,3.0,315.0,3.0,315
31/01/2010,25.0,30.0,27.0,84.0,18.0,2.0,3.0,315.0,3.0,315
02/01/2010,24.0,30.0,27.0,82.0,0.0,3.0,2.0,360.0,3.0,0
02/02/2010,25.0,30.0,28.0,79.0,0.0,1.0,3.0,360.0,3.0,0
02/03/2010,26.0,29.0,27.0,87.0,3.0,0.0,5.0,360.0,3.0,315
02/04/2010,25.0,30.0,28.0,79.0,0.0,6.0,6.0,320.0,3.0,315
02/05/2010,25.0,31.0,28.0,84.0,12.0,5.0,4.0,330.0,4.0,315
02/06/2010,26.0,29.0,27.0,89.0,0.0,0.0,3.0,360.0,4.0,0
02/07/2010,24.0,30.0,27.0,81.0,19.0,4.0,3.0,360.0,4.0,0
02/08/2010,26.0,30.0,28.0,81.0,0.0,4.0,3.0,320.0,3.0,315
02/09/2010,25.0,32.0,28.0,77.0,0.0,5.0,6.0,320.0,3.0,0
02/10/2010,25.0,34.0,28.0,76.0,0.0,6.0,5.0,120.0,3.0,135
02/11/2010,26.0,34.0,29.0,77.0,35.0,5.0,3.0,350.0,3.0,315
02/12/2010,26.0,32.0,29.0,78.0,1.0,5.0,3.0,360.0,3.0,0
13/02/2010,24.0,31.0,28.0,82.0,43.0,4.0,3.0,360.0,3.0,0
14/02/2010,26.0,31.0,28.0,82.0,2.0,3.0,3.0,320.0,3.0,315
15/02/2010,26.0,32.0,28.0,87.0,0.0,4.0,4.0,320.0,3.0,315
16/02/2010,25.0,31.0,28.0,84.0,40.0,5.0,5.0,350.0,3.0,315
17/02/2010,25.0,31.0,28.0,80.0,0.0,5.0,4.0,320.0,3.0,315
18/02/2010,26.0,31.0,28.0,80.0,0.0,4.0,3.0,360.0,4.0,315
19/02/2010,26.0,31.0,27.0,90.0,0.0,1.0,4.0,360.0,4.0,270
20/02/2010,23.0,31.0,27.0,84.0,109.0,6.0,3.0,340.0,3.0,0
21/02/2010,24.0,30.0,28.0,82.0,46.0,6.0,6.0,350.0,4.0,315
22/02/2010,26.0,30.0,28.0,81.0,0.0,2.0,4.0,320.0,4.0,45
23/02/2010,26.0,31.0,28.0,82.0,0.0,4.0,4.0,20.0,3.0,0
24/02/2010,26.0,30.0,28.0,87.0,11.0,2.0,2.0,360.0,3.0,0
25/02/2010,26.0,30.0,28.0,82.0,11.0,5.0,4.0,320.0,2.0,315
26/02/2010,26.0,31.0,29.0,78.0,0.0,5.0,3.0,320.0,4.0,315
27/02/2010,26.0,32.0,29.0,77.0,0.0,5.0,4.0,320.0,3.0,0
28/02/2010,26.0,32.0,29.0,80.0,0.0,4.0,4.0,180.0,3.0,315
03/01/2010,27.0,31.0,28.0,80.0,0.0,5.0,4.0,330.0,2.0,315
03/02/2010,26.0,31.0,28.0,81.0,0.0,5.0,3.0,360.0,3.0,0
03/03/2010,26.0,32.0,29.0,79.0,1.0,4.0,3.0,360.0,3.0,0
03/04/2010,27.0,32.0,29.0,78.0,0.0,5.0,3.0,320.0,3.0,315
03/05/2010,24.0,29.0,27.0,87.0,0.0,0.0,4.0,320.0,3.0,315
03/06/2010,26.0,31.0,28.0,80.0,20.0,6.0,5.0,320.0,3.0,315
03/07/2010,27.0,32.0,29.0,77.0,0.0,5.0,4.0,360.0,3.0,0
03/08/2010,26.0,32.0,28.0,81.0,0.0,6.0,3.0,330.0,4.0,315
03/09/2010,26.0,31.0,28.0,80.0,4.0,6.0,4.0,90.0,3.0,0
03/10/2010,26.0,30.0,28.0,80.0,0.0,4.0,3.0,320.0,4.0,315
03/11/2010,25.0,31.0,27.0,84.0,0.0,5.0,4.0,320.0,3.0,315
03/12/2010,25.0,31.0,28.0,80.0,42.0,6.0,5.0,320.0,3.0,315
13/03/2010,26.0,34.0,29.0,73.0,0.0,6.0,5.0,90.0,3.0,90
