epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7068,0.78502,2.87591,1.36475,0.00342,1,0.40602,0.22522,0.71438,3.59526,1.42823,5.001e-05,5.001e-05,5.001e-05
2,94.3949,0.47132,2.71335,1.17106,0.00346,1,0.82833,0.7246,0.28265,3.39836,0.78247,0.000115535,0.000115535,0.000115535
3,133.375,0.28131,2.36883,1.04596,0.0034,1,0.87,0.87,0.17883,3.31177,0.65867,0.000179739,0.000179739,0.000179739
4,171.433,0.21406,1.82543,0.99038,0.00333,1,0.44904,0.32657,0.90315,3.84919,1.1816,0.000242624,0.000242624,0.000242624
5,213.136,0.20647,1.37351,0.94765,0.00334,1,0.46654,0.23965,1.92408,4.8256,1.63092,0.000304187,0.000304187,0.000304187
6,253.074,0.22892,1.22051,0.95454,0.00333,1,0.60806,0.22892,1.75685,4.20275,1.74253,0.000364431,0.000364431,0.000364431
7,292.24,0.23054,1.10928,0.96212,0.00335,1,0.80056,0.51391,1.64449,4.14616,1.78068,0.000423355,0.000423355,0.000423355
8,330.77,0.22298,0.99852,0.94581,0.00334,1,0.87,0.68622,0.85359,3.29506,1.17239,0.000480958,0.000480958,0.000480958
9,369.481,0.20485,0.86076,0.94135,0.75599,0.75,0.91167,0.74723,0.77492,2.40805,1.2777,0.000537241,0.000537241,0.000537241
10,408.363,0.29011,0.9292,0.96063,0.50335,0.75,0.91167,0.83696,0.47946,2.39577,0.92191,0.000592203,0.000592203,0.000592203
