2024-11-09 09:30:54,076 - INFO - Server initialized with IP: 192.168.0.6
2024-11-09 09:30:54,085 - INFO - Server started on 192.168.0.6:5196
2024-11-09 09:31:49,098 - INFO - New connection from ('192.168.0.3', 43344)
2024-11-09 09:31:49,098 - ERROR - Error handling client ('192.168.0.3', 43344): 'IntelligentServer' object has no attribute '_process_data'
2024-11-09 09:31:49,100 - INFO - Connection closed for ('192.168.0.3', 43344)
2024-11-09 09:34:21,165 - INFO - New connection from ('192.168.0.3', 43352)
2024-11-09 09:34:21,169 - ERROR - Error handling client ('192.168.0.3', 43352): 'IntelligentServer' object has no attribute '_process_data'
2024-11-09 09:34:21,169 - INFO - Connection closed for ('192.168.0.3', 43352)
2024-11-09 09:34:22,266 - INFO - New connection from ('192.168.0.3', 43354)
2024-11-09 09:34:22,269 - ERROR - Error handling client ('192.168.0.3', 43354): 'IntelligentServer' object has no attribute '_process_data'
2024-11-09 09:34:22,270 - INFO - Connection closed for ('192.168.0.3', 43354)
2024-11-09 09:35:45,957 - INFO - New connection from ('192.168.0.3', 43358)
2024-11-09 09:35:45,961 - ERROR - Error handling client ('192.168.0.3', 43358): 'IntelligentServer' object has no attribute '_process_data'
2024-11-09 09:35:45,964 - INFO - Connection closed for ('192.168.0.3', 43358)
2024-11-09 09:35:45,969 - INFO - New connection from ('192.168.0.3', 43360)
2024-11-09 09:35:45,977 - ERROR - Error handling client ('192.168.0.3', 43360): 'IntelligentServer' object has no attribute '_process_data'
2024-11-09 09:35:45,977 - INFO - Connection closed for ('192.168.0.3', 43360)
2024-11-09 09:37:23,280 - INFO - New connection from ('192.168.0.3', 43366)
2024-11-09 09:37:23,283 - ERROR - Error handling client ('192.168.0.3', 43366): 'IntelligentServer' object has no attribute '_process_data'
2024-11-09 09:37:23,283 - INFO - Connection closed for ('192.168.0.3', 43366)
2024-11-09 09:37:23,296 - INFO - New connection from ('192.168.0.3', 43368)
2024-11-09 09:37:23,296 - ERROR - Error handling client ('192.168.0.3', 43368): 'IntelligentServer' object has no attribute '_process_data'
2024-11-09 09:37:23,297 - INFO - Connection closed for ('192.168.0.3', 43368)
2024-11-09 09:40:31,970 - INFO - New connection from ('192.168.0.3', 43378)
2024-11-09 09:40:31,970 - ERROR - Error handling client ('192.168.0.3', 43378): 'IntelligentServer' object has no attribute '_process_data'
2024-11-09 09:40:31,970 - INFO - Connection closed for ('192.168.0.3', 43378)
2024-11-09 09:40:31,979 - INFO - New connection from ('192.168.0.3', 43380)
2024-11-09 09:40:31,981 - ERROR - Error handling client ('192.168.0.3', 43380): 'IntelligentServer' object has no attribute '_process_data'
2024-11-09 09:40:31,981 - INFO - Connection closed for ('192.168.0.3', 43380)
2024-11-09 09:41:07,723 - INFO - New connection from ('192.168.0.3', 33803)
2024-11-09 09:41:08,205 - ERROR - Error handling client ('192.168.0.3', 33803): 'IntelligentServer' object has no attribute '_process_data'
